Date,Total
1/01/2013,0
2/01/2013,0
3/01/2013,0
4/01/2013,0
5/01/2013,59.55354839
6/01/2013,66.195
7/01/2013,39.63451613
8/01/2013,70.12258065
9/01/2013,204.1216667
10/01/2013,67.68322581
11/01/2013,47.61766667
12/01/2013,1.071612903
1/01/2014,0
2/01/2014,0
3/01/2014,0
4/01/2014,0
5/01/2014,20.71193548
6/01/2014,40.54033333
7/01/2014,1.991935484
8/01/2014,42.33241935
9/01/2014,178.234
10/01/2014,205.7956452
11/01/2014,16.81946667
12/01/2014,0
1/01/2015,0
2/01/2015,0
3/01/2015,0
4/01/2015,6.873333333
5/01/2015,7.883790323
6/01/2015,146.5083
7/01/2015,10.75604839
8/01/2015,10.31719355
9/01/2015,123.5798333
10/01/2015,164.4637152
11/01/2015,38.54305
12/01/2015,0
1/01/2016,0
2/01/2016,0
3/01/2016,0
4/01/2016,41.31258333
5/01/2016,79.94741935
6/01/2016,174.8241667
7/01/2016,25.24274194
8/01/2016,88.44403226
9/01/2016,81.49316667
10/01/2016,202.468871
11/01/2016,55.03083333
12/01/2016,8.772903226
1/01/2017,0
2/01/2017,0
3/01/2017,0
4/01/2017,0.5095
5/01/2017,168.9285484
6/01/2017,213.7583333
7/01/2017,14.25774194
8/01/2017,94.36951613
9/01/2017,214.9908333
10/01/2017,314.7819355
11/01/2017,4.9025
12/01/2017,0
1/01/2018,0
2/01/2018,0
3/01/2018,0
4/01/2018,2.62
5/01/2018,180.2822581
6/01/2018,70.27033333
7/01/2018,16.46774194
8/01/2018,23.15709677
9/01/2018,43.906
10/01/2018,457.3225806
11/01/2018,4.009333333
12/01/2018,0
1/01/2019,0
2/01/2019,0
3/01/2019,0
4/01/2019,0.1
5/01/2019,279.9459677
6/01/2019,30.10722222
7/01/2019,20.2
8/01/2019,34.45752688
9/01/2019,283.19125
10/01/2019,347.5
11/01/2019,7.083194444
12/01/2019,0
1/01/2020,0
2/01/2020,0
3/01/2020,0
4/01/2020,1.866666667
5/01/2020,235.0298387
6/01/2020,200.5872222
7/01/2020,38.60752688
8/01/2020,306.8225806
9/01/2020,181.3855556
10/01/2020,349.9526882
11/01/2020,526.0341667
12/01/2020,0.005376344
1/01/2021,0
2/01/2021,0
3/01/2021,0.387096774
4/01/2021,11.95277778
5/01/2021,42.30967742
6/01/2021,70.04333333
7/01/2021,55.21075269
8/01/2021,133.7693548
9/01/2021,148.1072222
10/01/2021,113.0080645
11/01/2021,17.96416667
12/01/2021,0
1/01/2022,0
2/01/2022,0
3/01/2022,0
4/01/2022,23.90722222
5/01/2022,170.2943548
6/01/2022,398.0927778
7/01/2022,81.94623656
8/01/2022,142.8752688
